timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 10:10:02,2026-03-30 06:10:02,GG,2,0.01,0.99,0.98,236.55,11387.64,0.01,0.99,0.98,185.95,13177.06,0.26,BUY,PENDING
2026-03-30 10:10:04,2026-03-30 06:10:04,GG,4,0.01,0.99,0.98,236.55,11382.69,0.01,0.99,0.98,185.95,13177.06,0.26,BUY,PENDING
2026-03-30 10:10:05,2026-03-30 06:10:05,GG,5,0.01,0.99,0.98,236.55,11387.64,0.01,0.99,0.98,186.0,13177.06,0.26,BUY,PENDING
2026-03-30 10:10:07,2026-03-30 06:10:07,GG,7,0.01,0.99,0.98,236.55,11382.69,0.01,0.99,0.98,185.95,13177.06,0.24,BUY,PENDING
2026-03-30 10:10:08,2026-03-30 06:10:08,GG,8,0.01,0.99,0.98,236.55,11382.69,0.01,0.99,0.98,185.95,13177.06,0.22,SELL,PENDING
2026-03-30 10:10:10,2026-03-30 06:10:10,GG,10,0.01,0.99,0.98,236.4,11382.69,0.01,0.99,0.98,185.95,13177.06,0.23,BUY,PENDING
2026-03-30 10:10:11,2026-03-30 06:10:11,GG,11,0.01,0.99,0.98,236.55,11387.64,0.01,0.99,0.98,185.95,13177.06,0.26,BUY,PENDING
2026-03-30 10:10:13,2026-03-30 06:10:13,GG,13,0.01,0.99,0.98,236.55,11382.69,0.01,0.99,0.98,185.95,13177.06,0.26,BUY,PENDING
2026-03-30 10:10:14,2026-03-30 06:10:14,GG,14,0.01,0.99,0.98,236.55,11382.69,0.01,0.99,0.98,185.95,13177.06,0.34,BUY,PENDING
2026-03-30 10:10:16,2026-03-30 06:10:16,GG,16,0.01,0.99,0.98,238.65,11477.69,0.01,0.99,0.98,190.95,13184.96,0.33,BUY,PENDING
2026-03-30 10:10:17,2026-03-30 06:10:17,GG,17,0.01,0.99,0.98,238.13,11477.69,0.01,0.99,0.98,190.95,13171.18,0.28,SELL,PENDING
2026-03-30 10:10:19,2026-03-30 06:10:19,GG,19,0.01,0.99,0.98,238.13,11477.69,0.01,0.99,0.98,190.95,13171.18,0.26,SELL,PENDING
2026-03-30 10:10:21,2026-03-30 06:10:21,GG,21,0.01,0.99,0.98,236.33,11382.69,0.01,0.99,0.98,185.95,13172.98,0.26,SELL,PENDING
2026-03-30 10:10:22,2026-03-30 06:10:22,GG,22,0.01,0.99,0.98,244.33,11382.69,0.01,0.99,0.98,185.95,13564.98,0.27,BUY,PENDING
2026-03-30 10:10:24,2026-03-30 06:10:24,GG,24,0.01,0.99,0.98,244.33,11382.69,0.01,0.99,0.98,185.95,13564.98,0.27,BUY,PENDING
2026-03-30 10:10:25,2026-03-30 06:10:25,GG,25,0.01,0.99,0.98,244.33,11382.69,0.01,0.99,0.98,186.05,13564.98,0.27,BUY,PENDING
2026-03-30 10:10:27,2026-03-30 06:10:27,GG,27,0.01,0.99,0.98,244.23,11382.69,0.01,0.99,0.98,185.95,13565.08,0.28,BUY,PENDING
2026-03-30 10:10:28,2026-03-30 06:10:28,GG,28,0.01,0.99,0.98,244.23,11382.69,0.01,0.99,0.98,185.95,13565.08,0.25,BUY,PENDING
2026-03-30 10:10:30,2026-03-30 06:10:30,GG,30,0.01,0.99,0.98,244.23,11676.69,0.01,0.99,0.98,191.95,13565.08,0.25,BUY,PENDING
2026-03-30 10:10:31,2026-03-30 06:10:31,GG,31,0.01,0.99,0.98,214.06,10182.66,0.01,0.99,0.98,161.98,12061.25,0.25,BUY,PENDING
2026-03-30 10:10:33,2026-03-30 06:10:33,GG,33,0.01,0.99,0.98,214.92,10182.66,0.01,0.99,0.98,161.98,12081.91,0.24,BUY,PENDING
2026-03-30 10:10:34,2026-03-30 06:10:34,GG,34,0.01,0.99,0.98,214.92,10182.66,0.01,0.99,0.98,162.03,12081.91,0.24,BUY,PENDING
2026-03-30 10:10:36,2026-03-30 06:10:36,GG,36,0.01,0.99,0.98,214.92,10182.66,0.01,0.99,0.98,161.98,12081.91,0.24,BUY,PENDING
2026-03-30 10:10:37,2026-03-30 06:10:37,GG,37,0.01,0.99,0.98,214.92,10182.66,0.01,0.99,0.98,161.98,12081.91,0.24,BUY,PENDING
2026-03-30 10:10:39,2026-03-30 06:10:39,GG,39,0.01,0.99,0.98,214.92,10182.66,0.01,0.99,0.98,161.98,12081.91,0.24,BUY,PENDING
2026-03-30 10:10:41,2026-03-30 06:10:41,GG,41,0.01,0.99,0.98,214.92,10182.66,0.01,0.99,0.98,161.98,12081.91,0.24,BUY,PENDING
2026-03-30 10:10:42,2026-03-30 06:10:42,GG,42,0.01,0.99,0.98,214.92,10182.66,0.01,0.99,0.98,161.98,12081.91,0.24,BUY,PENDING
