timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 14:55:02,2026-03-30 10:55:02,RR,2,0.001,0.999,0.998,111.1,8747.55,0.001,0.999,0.998,8.66,15868.54,0.999,BUY,PENDING
2026-03-30 14:55:04,2026-03-30 10:55:04,RR,4,0.001,0.999,0.998,111.1,8517.54,0.001,0.999,0.998,8.53,15868.54,0.999,BUY,PENDING
2026-03-30 14:55:05,2026-03-30 10:55:05,RR,5,0.001,0.999,0.998,111.1,8417.64,0.001,0.999,0.998,8.43,15868.54,0.999,BUY,PENDING
2026-03-30 14:55:07,2026-03-30 10:55:07,RR,7,0.001,0.999,0.998,111.1,8317.74,0.001,0.999,0.998,8.33,15868.54,0.999,BUY,PENDING
2026-03-30 14:55:08,2026-03-30 10:55:08,RR,8,0.001,0.999,0.998,111.1,8456.88,0.001,0.999,0.998,8.23,15868.54,0.996,BUY,PENDING
2026-03-30 14:55:10,2026-03-30 10:55:10,RR,10,0.001,0.999,0.998,111.1,10964.34,0.001,0.999,0.998,15.83,15868.54,0.997,BUY,PENDING
2026-03-30 14:55:11,2026-03-30 10:55:11,RR,11,0.001,0.999,0.998,111.15,10970.54,0.001,0.999,0.998,15.53,15868.54,0.997,BUY,PENDING
2026-03-30 14:55:13,2026-03-30 10:55:13,RR,13,0.001,0.999,0.998,111.1,10739.24,0.001,0.999,0.998,14.83,15868.54,0.997,BUY,PENDING
2026-03-30 14:55:14,2026-03-30 10:55:14,RR,14,0.001,0.999,0.998,111.1,11074.64,0.001,0.999,0.998,11.43,15868.54,0.992,SELL,PENDING
2026-03-30 14:55:16,2026-03-30 10:55:16,RR,16,0.001,0.999,0.998,111.15,10974.84,0.001,0.999,0.998,13.23,15868.54,0.998,BUY,PENDING
2026-03-30 14:55:17,2026-03-30 10:55:17,RR,17,0.001,0.999,0.998,111.1,10977.31,0.001,0.999,0.998,13.76,15868.54,0.998,BUY,PENDING
2026-03-30 14:55:19,2026-03-30 10:55:19,RR,19,0.001,0.999,0.998,111.1,11015.52,0.001,0.999,0.998,11.29,15868.54,0.998,BUY,PENDING
2026-03-30 14:55:21,2026-03-30 10:55:21,RR,21,0.001,0.999,0.998,111.1,11914.72,0.001,0.999,0.998,11.89,15868.54,0.998,BUY,PENDING
2026-03-30 14:55:22,2026-03-30 10:55:22,RR,22,0.001,0.999,0.998,111.1,12073.98,0.001,0.999,0.998,12.09,15868.54,0.998,BUY,PENDING
2026-03-30 14:55:24,2026-03-30 10:55:24,RR,24,0.001,0.999,0.998,111.1,11974.08,0.001,0.999,0.998,11.99,15868.54,0.999,BUY,PENDING
2026-03-30 14:55:25,2026-03-30 10:55:25,RR,25,0.001,0.999,0.998,111.1,11874.18,0.001,0.999,0.998,11.89,15868.54,0.999,BUY,PENDING
2026-03-30 14:55:27,2026-03-30 10:55:27,RR,27,0.001,0.999,0.998,111.1,11674.38,0.001,0.999,0.998,11.69,15868.54,0.999,BUY,PENDING
2026-03-30 14:55:28,2026-03-30 10:55:28,RR,28,0.001,0.999,0.998,111.1,11574.48,0.001,0.999,0.998,11.59,15868.54,0.999,BUY,PENDING
2026-03-30 14:55:30,2026-03-30 10:55:30,RR,30,0.001,0.999,0.998,111.1,11474.58,0.001,0.999,0.998,11.39,15868.54,0.999,BUY,PENDING
2026-03-30 14:55:31,2026-03-30 10:55:31,RR,31,0.001,0.999,0.998,102.1,11274.78,0.001,0.999,0.998,11.29,15052.54,0.999,BUY,PENDING
2026-03-30 14:55:33,2026-03-30 10:55:33,RR,33,0.001,0.999,0.998,102.1,11174.88,0.001,0.999,0.998,11.19,15052.54,0.999,BUY,PENDING
