timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 10:40:02,RR,2,0.999,8628.93,0.999,10759.68,DOWN
2026-03-31 10:40:03,RR,3,0.999,8628.93,0.999,10759.68,DOWN
2026-03-31 10:40:05,RR,5,0.999,10525.13,0.999,10759.68,DOWN
2026-03-31 10:40:06,RR,6,0.999,10450.25,0.999,10660.68,DOWN
2026-03-31 10:40:07,RR,7,0.999,10280.32,0.999,10660.68,DOWN
2026-03-31 10:40:08,RR,8,0.999,10611.39,0.999,10660.68,DOWN
2026-03-31 10:40:10,RR,10,0.999,13128.16,0.999,10660.68,DOWN
2026-03-31 10:40:11,RR,11,0.999,13130.55,0.999,10660.68,DOWN
2026-03-31 10:40:12,RR,12,0.999,13100.7,0.999,10660.68,DOWN
2026-03-31 10:40:14,RR,14,0.999,13001.0,0.999,10660.68,DOWN
2026-03-31 10:40:15,RR,15,0.999,13100.7,0.999,10660.68,DOWN
2026-03-31 10:40:16,RR,16,0.999,12901.3,0.999,10660.68,DOWN
2026-03-31 10:40:17,RR,17,0.999,12984.19,0.999,10660.68,DOWN
2026-03-31 10:40:19,RR,19,0.999,13100.0,0.999,10660.68,DOWN
2026-03-31 10:40:20,RR,20,0.999,13000.3,0.999,10660.68,DOWN
2026-03-31 10:40:21,RR,21,0.999,12238.58,0.999,10660.68,DOWN
2026-03-31 10:40:23,RR,23,0.999,12339.26,0.999,10660.68,DOWN
2026-03-31 10:40:24,RR,24,0.999,12239.56,0.999,10660.68,DOWN
2026-03-31 10:40:25,RR,25,0.999,12339.26,0.999,10660.68,DOWN
2026-03-31 10:40:26,RR,26,0.999,12239.56,0.999,10660.68,DOWN
2026-03-31 10:40:28,RR,28,0.999,12239.56,0.999,10660.68,DOWN
2026-03-31 10:40:29,RR,29,0.999,12339.25,0.999,10660.68,DOWN
2026-03-31 10:40:30,RR,30,0.999,12264.47,0.999,10660.68,DOWN
2026-03-31 10:40:31,RR,31,0.999,12164.77,0.999,9918.18,DOWN
2026-03-31 10:40:33,RR,33,0.999,13260.43,0.999,9918.18,DOWN
2026-03-31 10:40:34,RR,34,0.999,13160.83,0.999,10466.51,DOWN
2026-03-31 10:40:35,RR,35,0.999,13061.94,0.999,10466.51,DOWN
2026-03-31 10:40:37,RR,37,0.999,12364.93,0.999,10466.51,DOWN
2026-03-31 10:40:38,RR,38,0.999,12265.13,0.999,10466.51,DOWN
2026-03-31 10:40:39,RR,39,0.999,12165.33,0.999,10466.51,DOWN
2026-03-31 10:40:40,RR,40,0.999,12065.53,0.999,10466.51,DOWN
2026-03-31 10:40:42,RR,42,0.999,11967.93,0.999,10466.51,DOWN
2026-03-31 10:40:43,RR,43,0.999,11868.13,0.999,10466.51,DOWN
2026-03-31 10:40:44,RR,44,0.999,11768.33,0.999,10466.51,DOWN
2026-03-31 10:40:45,RR,45,0.999,11568.73,0.999,10466.51,DOWN
2026-03-31 10:40:47,RR,47,0.999,11494.15,0.999,10466.51,DOWN
2026-03-31 10:40:48,RR,48,0.999,9136.81,0.999,10466.51,DOWN
2026-03-31 10:40:49,RR,49,0.999,9037.01,0.999,10466.51,DOWN
2026-03-31 10:40:51,RR,51,0.999,8277.87,0.999,10466.51,DOWN
2026-03-31 10:40:52,RR,52,0.999,8183.62,0.999,10466.51,DOWN
2026-03-31 10:40:53,RR,53,0.999,7116.88,0.999,10466.51,DOWN
2026-03-31 10:40:54,RR,54,0.999,6917.08,0.999,10466.51,DOWN
2026-03-31 10:40:58,RR,58,0.999,6617.38,0.999,10466.51,DOWN
2026-03-31 10:40:59,RR,59,0.999,6417.58,0.999,10466.51,DOWN
2026-03-31 10:41:00,RR,60,0.999,6824.79,0.999,10466.51,DOWN
2026-03-31 10:41:01,RR,61,0.999,3808.96,0.999,10466.51,DOWN
