timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 11:40:02,GG,2,0.99,4527.51,0.99,5917.73,DOWN
2026-03-31 11:40:03,GG,3,0.99,4532.46,0.99,5927.63,DOWN
2026-03-31 11:40:04,GG,4,0.99,4814.51,0.99,5814.33,DOWN
2026-03-31 11:40:06,GG,6,0.99,4814.51,0.99,5824.08,DOWN
2026-03-31 11:40:07,GG,7,0.99,4814.51,0.99,5828.6,DOWN
2026-03-31 11:40:08,GG,8,0.99,4809.76,0.99,5814.1,DOWN
2026-03-31 11:40:10,GG,10,0.99,4809.76,0.99,5814.0,DOWN
2026-03-31 11:40:11,GG,11,0.99,4809.76,0.99,5814.1,DOWN
2026-03-31 11:40:12,GG,12,0.99,4809.76,0.99,5814.1,DOWN
2026-03-31 11:40:13,GG,13,0.99,4809.76,0.99,5814.05,DOWN
2026-03-31 11:40:15,GG,15,0.99,4809.76,0.99,5814.05,DOWN
2026-03-31 11:40:16,GG,16,0.99,4809.76,0.99,5814.1,DOWN
2026-03-31 11:40:17,GG,17,0.99,4809.76,0.99,5818.95,DOWN
2026-03-31 11:40:19,GG,19,0.99,4719.71,0.99,5833.6,DOWN
2026-03-31 11:40:20,GG,20,0.99,4714.76,0.99,5833.45,DOWN
2026-03-31 11:40:21,GG,21,0.99,4714.76,0.99,5838.2,DOWN
2026-03-31 11:40:22,GG,22,0.99,4714.76,0.99,5843.15,DOWN
2026-03-31 11:40:24,GG,24,0.99,4714.76,0.99,5838.2,DOWN
2026-03-31 11:40:25,GG,25,0.99,4719.56,0.99,5838.2,DOWN
2026-03-31 11:40:26,GG,26,0.99,4423.76,0.99,5833.4,DOWN
2026-03-31 11:40:27,GG,27,0.99,4423.76,0.99,5833.4,DOWN
2026-03-31 11:40:29,GG,29,0.99,4423.76,0.99,5833.4,DOWN
2026-03-31 11:40:30,GG,30,0.99,4423.76,0.99,5833.4,DOWN
2026-03-31 11:40:31,GG,31,0.99,4521.76,0.99,5833.4,DOWN
2026-03-31 11:40:33,GG,33,0.99,4511.96,0.99,5833.5,DOWN
2026-03-31 11:40:34,GG,34,0.99,4413.96,0.99,5823.6,DOWN
2026-03-31 11:40:35,GG,35,0.99,4413.96,0.99,5837.12,DOWN
2026-03-31 11:40:36,GG,36,0.99,4413.96,0.99,5832.17,DOWN
2026-03-31 11:40:38,GG,38,0.99,4413.96,0.99,5832.17,DOWN
2026-03-31 11:40:39,GG,39,0.99,4413.96,0.99,5837.12,DOWN
2026-03-31 11:40:40,GG,40,0.99,4799.96,0.99,5832.17,DOWN
2026-03-31 11:40:41,GG,41,0.99,4799.96,0.99,5832.17,DOWN
2026-03-31 11:40:43,GG,43,0.99,4799.96,0.99,5832.17,DOWN
2026-03-31 11:40:44,GG,44,0.99,4804.71,0.99,5837.12,DOWN
2026-03-31 11:40:45,GG,45,0.99,4799.96,0.99,5837.12,DOWN
2026-03-31 11:40:47,GG,47,0.99,4799.96,0.99,5832.17,DOWN
