timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-02 07:25:02,GG,2,0.01,0.99,97.99,10335.75,0.03,0.01,0.99,166.22,8683.28,0.98,PENDING
2026-04-02 07:25:04,GG,4,0.01,0.99,86.16,10335.75,0.02,0.01,0.99,166.22,8117.97,0.99,PENDING
2026-04-02 07:25:06,GG,6,0.01,0.99,79.21,10335.75,0.01,0.01,0.99,166.22,7667.48,0.99,PENDING
2026-04-02 07:25:07,GG,7,0.01,0.99,77.45,10261.75,0.01,0.01,0.99,165.22,7670.45,0.99,PENDING
2026-04-02 07:25:09,GG,9,0.01,0.99,73.97,10261.75,0.02,0.01,0.99,165.22,7318.01,0.99,PENDING
2026-04-02 07:25:11,GG,11,0.01,0.99,71.13,10261.75,0.02,0.01,0.99,165.22,7107.09,0.98,PENDING
2026-04-02 07:25:13,GG,13,0.01,0.99,73.18,10261.75,0.01,0.01,0.99,165.22,7020.34,0.98,PENDING
2026-04-02 07:25:14,GG,14,0.01,0.99,70.2,10261.75,0.02,0.01,0.99,165.22,6772.84,0.99,PENDING
2026-04-02 07:25:16,GG,16,0.01,0.99,67.65,10261.75,0.02,0.01,0.99,165.22,6692.68,0.99,PENDING
2026-04-02 07:25:18,GG,18,0.01,0.99,68.28,10261.75,0.01,0.01,0.99,165.22,6679.7,0.99,PENDING
2026-04-02 07:25:19,GG,19,0.01,0.99,68.13,10261.75,0.02,0.01,0.99,165.22,6401.51,0.99,PENDING
2026-04-02 07:25:21,GG,21,0.01,0.99,64.66,9271.75,0.02,0.01,0.99,155.22,6405.45,0.99,PENDING
2026-04-02 07:25:23,GG,23,0.01,0.99,66.74,9271.75,0.02,0.01,0.99,155.22,6607.74,0.99,PENDING
2026-04-02 07:25:25,GG,25,0.01,0.99,66.41,9271.75,0.02,0.01,0.99,155.22,6579.14,0.99,PENDING
2026-04-02 07:25:26,GG,26,0.01,0.99,63.74,9271.75,0.02,0.01,0.99,155.22,6230.89,0.99,PENDING
2026-04-02 07:25:28,GG,28,0.01,0.99,63.52,9271.75,0.02,0.01,0.99,155.22,6283.33,0.99,PENDING
2026-04-02 07:25:30,GG,30,0.01,0.99,63.19,9271.75,0.02,0.01,0.99,155.22,6129.88,0.99,PENDING
2026-04-02 07:25:32,GG,32,0.01,0.99,61.97,9109.76,0.01,0.01,0.99,150.21,6129.62,0.99,PENDING
2026-04-02 07:25:33,GG,33,0.01,0.99,62.4,9109.76,0.01,0.01,0.99,150.21,6177.14,0.99,PENDING
2026-04-02 07:25:35,GG,35,0.01,0.99,62.34,9109.76,0.02,0.01,0.99,150.21,6223.64,0.98,PENDING
2026-04-02 07:25:37,GG,37,0.01,0.99,62.45,9109.76,0.02,0.01,0.99,150.21,6182.08,0.98,PENDING
2026-04-02 07:25:39,GG,39,0.01,0.99,62.98,9109.76,0.02,0.01,0.99,150.21,6305.71,0.98,PENDING
2026-04-02 07:25:40,GG,40,0.01,0.99,62.97,9109.76,0.02,0.01,0.99,150.26,6298.76,0.99,PENDING
2026-04-02 07:25:42,GG,42,0.01,0.99,64.46,9109.76,0.02,0.01,0.99,150.21,6455.12,0.99,PENDING
2026-04-02 07:25:44,GG,44,0.01,0.99,65.46,9109.76,0.02,0.01,0.99,150.21,6277.91,0.99,PENDING
2026-04-02 07:25:46,GG,46,0.01,0.99,63.61,9109.76,0.02,0.01,0.99,150.21,6222.47,0.99,PENDING
2026-04-02 07:25:47,GG,47,0.01,0.99,64.96,9109.76,0.02,0.01,0.99,150.21,6361.07,0.99,PENDING
2026-04-02 07:25:49,GG,49,0.01,0.99,64.96,9109.76,0.02,0.01,0.99,150.21,6361.07,0.99,PENDING
2026-04-02 07:25:51,GG,51,0.01,0.99,64.96,9109.76,0.02,0.01,0.99,150.21,6431.33,0.99,PENDING
2026-04-02 07:25:52,GG,52,0.01,0.99,65.54,9109.76,0.02,0.01,0.99,150.21,6493.7,0.99,PENDING
2026-04-02 07:25:54,GG,54,0.01,0.99,64.93,9109.76,0.02,0.01,0.99,150.21,6428.39,0.99,PENDING
2026-04-02 07:25:56,GG,56,0.01,0.99,66.08,9109.76,0.02,0.01,0.99,150.21,6541.93,0.99,PENDING
2026-04-02 07:25:58,GG,58,0.01,0.99,66.13,9109.76,0.02,0.01,0.99,150.21,6543.91,0.99,PENDING
2026-04-02 07:25:59,GG,59,0.01,0.99,66.05,9109.76,0.02,0.01,0.99,150.21,6543.91,0.99,PENDING
2026-04-02 07:26:01,GG,61,0.01,0.99,65.65,9109.76,0.02,0.01,0.99,150.21,6499.34,0.99,PENDING
2026-04-02 07:26:03,GG,63,0.01,0.99,65.56,9109.76,0.02,0.01,0.99,150.21,6487.89,0.99,PENDING
2026-04-02 07:26:05,GG,65,0.01,0.99,65.45,9109.76,0.02,0.01,0.99,150.21,6479.88,0.99,PENDING
2026-04-02 07:26:07,GG,67,0.01,0.99,65.35,9109.76,0.02,0.01,0.99,150.21,6389.72,0.99,PENDING
2026-04-02 07:26:09,GG,69,0.01,0.99,65.15,9109.76,0.02,0.01,0.99,150.21,6459.98,0.99,PENDING
2026-04-02 07:26:11,GG,71,0.01,0.99,64.59,9109.76,0.02,0.01,0.99,150.21,6394.67,0.99,PENDING
2026-04-02 07:26:13,GG,73,0.001,0.999,67.73,8055.39,0.012,0.001,0.999,95.33,8887.67,0.988,PENDING
2026-04-02 07:26:14,GG,74,0.001,0.999,59.89,7717.41,0.012,0.001,0.999,80.94,8316.16,0.988,PENDING
2026-04-02 07:26:16,GG,76,0.001,0.999,64.97,13062.06,0.012,0.001,0.999,86.29,14219.41,0.988,PENDING
2026-04-02 07:26:18,GG,78,0.001,0.999,10.22,13374.75,0.015,0.001,0.999,86.6,8753.78,0.99,PENDING
2026-04-02 07:26:20,GG,80,0.001,0.999,10.42,13874.25,0.015,0.001,0.999,87.1,8753.58,0.99,PENDING
